,Unnamed: 0,Unnamed: 0.1,paragraph_id,question_id,paragraph,question,target,list_ntokens_p,list_ntokens_q,list_ratio,list_intersections,len_paragraph,len_question,len_intersection,cos_dist,min_ratio,max_ratio,std_ratio,mean_ratio,num_sentences,min_inter,max_inter,list_bigrams_intersections,list_trigrams_intersections,bigram_intersection,trigram_intersection,min_2g_inter,max_2g_inter,std_2g_inter,mean_2g_inter,min_3g_inter,max_3g_inter,std_3g_inter,mean_3g_inter,unq_qwords_rate,list_len_percent,len_percent,min_len_percent,max_len_percent,std_len_percent,mean_len_percent,list_similar_max,similar_thr_15,similar_thr_30,similar_thr_45,similar_thr_60,similar_thr_75,similar_thr_90
0,0,0,1094,46273,"В отличие от рыб, земноводные (амфибии) и пресмыкающиеся (рептилии или гады) уже имеют два круга кровообращения и сердце у них трёхкамерное (появляется межпредсердная перегородка). Единственные современные рептилии, имеющие хотя и неполноценное (межпредсердиевая перегородка не полностью разделяет предсердия, что скорей всего связано с переходом предков к полуводному образу жизни и снижению активности), но уже четырёхкамерное сердце — крокодилы. Считается, что впервые четырёхкамерное сердце появилось у примитивных архозавров и развитых синапсидов. В дальнейшем такое строение сердца унаследовали прямые потомки динозавров — птицы и потомки примитивных млекопитающих — современные млекопитающие.","С какого года Русское Царство перешло на летоисчисление от Рождества Христова и празднование Нового года 1 января, а не 1 сентября?",0.0,"[['в', 'отличие', 'от', 'рыба', 'земноводный', 'и', 'пресмыкаться', 'уже', 'иметь', 'два', 'круг', 'кровообращение', 'и', 'сердце', 'у', 'они', 'трёхкамерный'], ['единственный', 'современный', 'рептилия', 'иметь', 'хотя', 'и', 'неполноценный', 'но', 'уже', 'четырёхкамерный', 'сердце', 'крокодилы'], ['считаться', 'что', 'впервые', 'четырёхкамерный', 'сердце', 'появиться', 'у', 'примитивный', 'архозавр', 'и', 'развитый', 'синапсидов'], ['в', 'дальнейший', 'такой', 'строение', 'сердце', 'унаследовать', 'прямая', 'потомок', 'динозавр', 'птица', 'и', 'потомок', 'примитивный', 'млекопитающее', 'современный', 'млекопитающие']]","[['с', 'какой', 'год', 'русский', 'царство', 'перейти', 'на', 'летоисчисление', 'от', 'рождество', 'христов', 'и', 'празднование', 'новое', 'год', '1', 'январь', 'а', 'не', '1', 'сентября', '?']]","[0.27586, 0.25664, 0.19556, 0.26415]","[2, 1, 1, 1]",67.0,19.0,3.0,1.0,0.19556,0.27586,0.031070863662762887,0.2480525,4.0,1.0,2.0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,"[112.5, 158.3333, 158.3333, 126.6667]",42.8571,112.5,158.3333,20.011910949778766,138.958325,[0],0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,7414,19164,"В 1049 году Балдуину V удалось отнять у Германии часть Брабанта, которую потом называли Имперской Фландрией . Зато от Фландрии за это время отделились графы Камбрезский, Булонский, Сен-Поль и Гиньский. При Балдуине V авторитет графов Фландрских стоял во Франции очень высоко. Король Генрих I, умирая, назначил Балдуина опекуном своего сына Филиппа. Балдуин завещал престол своему второму сыну, Балдуину VI. Старший сын Роберт, по прозванию Фриз, был этим очень обижен, и, когда его брат умер, он стал добывать себе престол мечом, энергично поддерживаемый горожанами против вдовы Балдуина VI и его малолетнего сына. Он сделался графом после более чем трёхлетней борьбы.","Кто упомянул о его первых разногласиях со Штейнбергом: Педагог хотел видеть в нём продолжателя русской традиции, а не очередного — вслед за Стравинским и Прокофьевым — её разрушителя, композитора с подозрительными модернистскими наклонностями ?",0.0,"[['в', '1049', 'год', 'балдуин', 'v', 'удаться', 'отнять', 'у', 'германия', 'часть', 'брабант', 'который', 'потом', 'называть', 'имперский', 'фландрия'], ['зато', 'от', 'фландрий', 'за', 'это', 'время', 'отделиться', 'граф', 'камбрезский', 'булонский', 'сен-поль', 'и', 'гиньский'], ['при', 'балдуиня', 'v', 'авторитет', 'граф', 'фландрский', 'стоялый', 'в', 'франция', 'очень', 'высоко'], ['король', 'генрих', 'i', 'умирать', 'назначить', 'балдуин', 'опекун', 'свой', 'сын', 'филиппа'], ['балдуин', 'завещать', 'престол', 'свой', 'второе', 'сын', 'балдуин', 'vi'], ['старший', 'сын', 'роберт', 'по', 'прозвание', 'фриз', 'быть', 'это', 'очень', 'обиженный', 'и', 'когда', 'он', 'брат', 'умереть', 'он', 'стать', 'добывать', 'себя', 'престол', 'меч', 'энергично', 'поддерживать', 'горожанин', 'против', 'вдовый', 'балдуин', 'vi', 'и', 'он', 'малолетний', 'сына'], ['он', 'сделаться', 'граф', 'после', 'более', 'чем', 'трёхлетний', 'борьбы']]","[['кто', 'упомянуть', 'о', 'он', 'один', 'разногласие', 'с', 'штейнбергом', ':', 'педагог', 'хотеть', 'видеть', 'в', 'он', 'продолжатель', 'русский', 'традиция', 'а', 'не', 'очередной', '—', 'вслед', 'за', 'стравинский', 'и', 'прокофьев', '—', 'её', 'разрушитель', 'композитор', 'с', 'подозрительный', 'модернистский', 'наклонность', '?']]","[0.04204, 0.00629, 0.04636, 0.02703, 0.01418, 0.0093, 0.02837]","[1, 2, 1, 0, 0, 2, 1]",89.0,31.0,3.0,1.0000000000000002,0.00629,0.046360000000000005,0.014518084148638163,0.02479571428571429,7.0,0.0,2.0,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[193.75, 230.7692, 281.8182, 320.0, 457.1429, 103.4483, 387.5]",35.8974,103.4483,457.1429,110.5458270651422,282.06122857142856,[0],0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,6744,39767,"Стремление достичь предельных значений ёмкости для NAND-устройств привело к стандартизации брака — праву выпускать и продавать микросхемы с некоторым процентом бракованных ячеек и без гарантии непоявления новых bad-блоков в процессе эксплуатации. Чтобы минимизировать потери данных, каждая страница памяти снабжается небольшим дополнительным блоком, в котором записывается контрольная сумма, информация для восстановления при одиночных битовых ошибках, информация о сбойных элементах на этой странице и количестве записей на эту страницу.","Как называется имеющая мировое значение эпоха в истории культуры Европы, пришедшая на смену Средним векам и предшествующая Просвещению и Новому времени?",0.0,"[['стремление', 'достигнуть', 'предельный', 'значение', 'ёмкость', 'для', 'nand-устройство', 'привести', 'к', 'стандартизация', 'брак', 'право', 'выпускать', 'и', 'продавать', 'микросхема', 'с', 'некоторые', 'процент', 'браковать', 'ячейка', 'и', 'без', 'гарантия', 'непоявление', 'новый', 'bad-блок', 'в', 'процесс', 'эксплуатации'], ['чтобы', 'минимизировать', 'потеря', 'дать', 'каждый', 'страница', 'память', 'снабжаться', 'небольшой', 'дополнительный', 'блок', 'в', 'который', 'записываться', 'контрольный', 'сумма', 'информация', 'для', 'восстановление', 'при', 'одиночный', 'битовый', 'ошибка', 'информация', 'о', 'сбойный', 'элемент', 'на', 'этот', 'страница', 'и', 'количество', 'запись', 'на', 'этот', 'страницу']]","[['как', 'называться', 'иметь', 'мировой', 'значение', 'эпоха', 'в', 'история', 'культура', 'европа', 'прийти', 'на', 'смена', 'средний', 'веко', 'и', 'предшествовать', 'просвещение', 'и', 'новый', 'времени', '?']]","[0.34715, 0.2217]","[4, 3]",62.0,20.0,3.0,0.966497483830504,0.2217,0.34715,0.062725,0.28442500000000004,2.0,3.0,4.0,"[0, 0]","[0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,"[58.6207, 56.25]",27.5862,56.25,58.6207,1.1853499999999997,57.43535,[0],0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,7300,36318,"Первый практически пригодный двухтактный газовый ДВС был сконструирован французским механиком Этьеном Ленуаром в 1860 году. Мощность составляла 8,8 кВт (11,97 л. с.). Двигатель представлял собой одноцилиндровую горизонтальную машину двойного действия, работавшую на смеси воздуха и светильного газа с электрическим искровым зажиганием от постороннего источника. В конструкции двигателя появился кривошипно-шатунный механизм. КПД двигателя не превышал 4,65 %. Несмотря на недостатки, двигатель Ленуара получил некоторое распространение. Использовался как лодочный двигатель.",Что усугублялось из-за международного давления на правительство Альенде и ограничения торговли с Чили?,0.0,"[['один', 'практически', 'пригодный', 'двухтактный', 'газовый', 'двс', 'быть', 'сконструировать', 'французский', 'механик', 'этьен', 'ленуар', 'в', '1860', 'году'], ['мощность', 'составлять', '88', 'квт'], ['двигатель', 'представлять', 'себя', 'одноцилиндровый', 'горизонтальный', 'машина', 'двойной', 'действие', 'работать', 'на', 'смесь', 'воздух', 'и', 'светильный', 'газа', 'с', 'электрический', 'искровой', 'зажигание', 'от', 'посторонний', 'источника'], ['в', 'конструкция', 'двигатель', 'появиться', 'кривошипно-шатунный', 'механизм'], ['кпд', 'двигатель', 'не', 'превышать', '465'], ['несмотря', 'на', 'недостаток', 'двигатель', 'ленуар', 'получить', 'некоторый', 'распространение'], ['использоваться', 'как', 'лодочный', 'двигатель']]","[['что', 'усугубляться', 'из-за', 'международный', 'давление', 'на', 'правительство', 'альенде', 'и', 'ограничение', 'торговля', 'с', 'чили', '?']]","[0.27523, 0.15625, 0.23693, 0.26829, 0.25758, 0.29545, 0.31655]","[0, 0, 3, 0, 0, 1, 0]",66.0,14.0,3.0,1.0000000000000004,0.15625,0.31655,0.04785474241314617,0.25803999999999994,7.0,0.0,3.0,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[93.3333, 350.0, 50.0, 233.3333, 280.0, 162.5, 350.0]",19.2982,50.0,350.0,110.69035021349293,217.0238,[0],0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,7077,41534,"Требуя от художника углубленного изучения изображаемых предметов, Леонардо да Винчи заносил все свои наблюдения в записную книжку, которую постоянно носил при себе. Итогом стал своеобразный интимный дневник, подобного которому нет во всей мировой литературе. Рисунки, чертежи и эскизы сопровождаются здесь краткими заметками по вопросам перспективы, архитектуры, музыки, естествознания, военно-инженерного дела и тому подобное; всё это пересыпано разнообразными изречениями, философскими рассуждениями, аллегориями, анекдотами, баснями. В совокупности записи этих 120 книжек представляют материалы для обширнейшей энциклопедии. Однако он не стремился к публикации своих мыслей и даже прибегал к тайнописи, полная расшифровка его записей не выполнена до сих пор.",Какой характер носят пророчества Леонардо да Винчи?,0.0,"[['требовать', 'от', 'художник', 'углублённый', 'изучение', 'изображать', 'предмет', 'леонардо', 'да', 'винчи', 'заносить', 'весь', 'свой', 'наблюдение', 'в', 'записной', 'книжка', 'который', 'постоянно', 'носить', 'при', 'себе'], ['итог', 'стать', 'своеобразный', 'интимный', 'дневник', 'подобный', 'который', 'нет', 'в', 'весь', 'мировой', 'литературе'], ['рисунок', 'чертёж', 'и', 'эскиз', 'сопровождаться', 'здесь', 'краткий', 'заметка', 'по', 'вопрос', 'перспектива', 'архитектура', 'музыка', 'естествознание', 'военно-инженерный', 'дело', 'и', 'тот', 'подобный', 'весь', 'это', 'пересыпать', 'разнообразный', 'изречение', 'философский', 'рассуждение', 'аллегория', 'анекдот', 'баснями'], ['в', 'совокупность', 'запись', 'этот', '120', 'книжка', 'представлять', 'материал', 'для', 'обширный', 'энциклопедии'], ['однако', 'он', 'не', 'стремиться', 'к', 'публикация', 'свой', 'мысль', 'и', 'даже', 'прибегать', 'к', 'тайнопись', 'полный', 'расшифровка', 'он', 'запись', 'не', 'выполнить', 'до', 'сей', 'пор']]","[['какой', 'характер', 'носить', 'пророчество', 'леонардо', 'да', 'винчи', '?']]","[0.28972, 0.22857, 0.14667, 0.2029, 0.16484]","[4, 0, 0, 0, 0]",93.0,7.0,3.0,0.8485110513566452,0.14667,0.28972,0.05047928248301475,0.20653999999999995,5.0,0.0,4.0,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",1.0,0.0,0.0,1.0,0.4000000000000001,0.2,0.0,0.0,0.0,0.0,1.0,"[18.1818, 66.6667, 28.5714, 72.7273, 42.1053]",4.878,18.1818,72.7273,21.135881056724372,45.6505,[0],0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,3559,62585,"Белки — высокомолекулярные органические вещества, состоящие из соединённых в цепочку пептидной связью альфа-аминокислот. В живых организмах аминокислотный состав белков определяется генетическим кодом, при синтезе в большинстве случаев используется 20 стандартных аминокислот. Множество их комбинаций дают большое разнообразие свойств молекул белков. Кроме того, аминокислоты в составе белка часто подвергаются посттрансляционным модификациям, которые могут возникать и до того, как белок начинает выполнять свою функцию, и во время его работы в клетке. Часто в живых организмах несколько молекул белков образуют сложные комплексы, например, фотосинтетический комплекс.",Какие действия предприняла подводная лодка Черепаха Бушнелла во время войны за независимость США при попытке скрыться?,0.0,"[['белка', 'высокомолекулярный', 'органический', 'вещество', 'состоять', 'из', 'соединить', 'в', 'цепочка', 'пептидный', 'связь', 'альфа-аминокислот'], ['в', 'живой', 'организм', 'аминокислотный', 'состав', 'белок', 'определяться', 'генетический', 'код', 'при', 'синтез', 'в', 'большинство', 'случай', 'использоваться', '20', 'стандартный', 'аминокислот'], ['множество', 'они', 'комбинация', 'давать', 'большой', 'разнообразие', 'свойство', 'молекула', 'белков'], ['кроме', 'тот', 'аминокислота', 'в', 'состав', 'белок', 'часто', 'подвергаться', 'посттрансляционный', 'модификация', 'который', 'мочь', 'возникать', 'и', 'до', 'тот', 'как', 'белка', 'начинать', 'выполнять', 'свой', 'функция', 'и', 'в', 'время', 'он', 'работа', 'в', 'клетке'], ['часто', 'в', 'живой', 'организм', 'несколько', 'молекула', 'белок', 'образовать', 'сложный', 'комплекс', 'например', 'фотосинтетический', 'комплекс']]","[['какой', 'действие', 'предпринять', 'подводный', 'лодка', 'черепаха', 'бушнелла', 'в', 'время', 'война', 'за', 'независимость', 'сша', 'при', 'попытка', 'скрыться', '?']]","[0.25217, 0.20301, 0.19487, 0.26623, 0.27948]","[1, 2, 0, 2, 1]",70.0,16.0,3.0,0.9916251415613714,0.19487,0.27948,0.03404753641601695,0.239152,5.0,0.0,2.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[133.3333, 88.2353, 188.8889, 60.0, 133.3333]",21.875,60.0,188.8889,44.062129894393436,120.75816,[0],0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,4350,3730,"Прайсинговые методы — в основе лежит принцип издержки плюс прибыль . В качестве издержек могут использоваться полные, усреднённые, предельные, стандартные или нормативные затраты (полные, усреднённые, предельные затраты связаны с реальным производством; стандартные и нормативные оторваны от производства фирмы, они приняты при нормальных условиях производства — используются, когда нужно ограничить издержки). В качестве прибыли чаще всего берут среднеотраслевую, если иное не определено законодательством (идёт накидка на издержки) — есть товары, на которые накидка регулируется. Но существуют и другие методы определения прибыли — например, целевая прибыль. Если какое-то предприятие в силу определённой ситуации на рынке может воздействовать на цену (убедить или заставить рынок), то тогда оно может задавать прибыль (по модели точки безубыточности ).","Как называют остановки, до которых и на которых не производится оформление проездных документов?",0.0,"[['прайсинговый', 'метод', 'в', 'основа', 'лежать', 'принцип', 'издержка', 'плюс', 'прибыль'], ['в', 'качество', 'издержка', 'мочь', 'использоваться', 'полный', 'усреднить', 'предельный', 'стандартный', 'или', 'нормативный', 'затрата'], ['в', 'качество', 'прибыть', 'чаща', 'всего', 'брать', 'среднеотраслевой', 'если', 'иной', 'не', 'определить', 'законодательство', 'есть', 'товар', 'на', 'который', 'накидка', 'регулируется'], ['но', 'существовать', 'и', 'другой', 'метод', 'определение', 'прибыть', 'например', 'целевой', 'прибыль'], ['если', 'какой-то', 'предприятие', 'в', 'сила', 'определённый', 'ситуация', 'на', 'рынок', 'мочь', 'воздействовать', 'на', 'цена', 'то', 'тогда', 'оно', 'мочь', 'задавать', 'прибыль']]","[['как', 'называть', 'остановка', 'до', 'который', 'и', 'на', 'который', 'не', 'производиться', 'оформление', 'проездной', 'документов', '?']]","[0.19876, 0.35, 0.29185, 0.33721, 0.21525]","[0, 0, 3, 1, 1]",83.0,12.0,3.0,0.9895029791740456,0.19876,0.35,0.061800164595250076,0.278614,5.0,0.0,3.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,"[144.4444, 108.3333, 55.5556, 120.0, 70.5882]",16.6667,55.5556,144.4444,32.511150759085716,99.7843,[0],0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,8012,86629,"Применяли изначально для определения близкородственных групп, которые называли также племенами , в библейской литературе родами , которые делились на колена и т. п. В дальнейшем, особенно, с появлением государственных образований, слово стало приобретать более размытое значение. Например, многочисленные племена варваров римляне объединяли в галлов, франков, германцев, даков и т. п. При этом, римляне прекрасно знали об их внутреннем делении на десятки крупных и мелких родов, что засвидетельствовано в многочисленных римских хрониках . Например, современный город Париж был основан паризиями. Зачастую, объединяющим признаком становился близкий язык. Например, греки, а затем римляне именовали все иные народы ономатопом барбарос — имитация непонятной речи. Аналогично, у восточных славян киевский монах Нестор-летописец использовал как объединяющий или различающий признак языци . Существовали и совершенно странные наименования других народов, которые им давали пришельцы.",Какой признак киевский монах Нестор-летописец использовал для разделения народностей?,1.0,"[['применять', 'изначально', 'для', 'определение', 'близкородственный', 'группа', 'который', 'называть', 'также', 'племя', 'в', 'библейский', 'литература', 'роды', 'который', 'делиться', 'на', 'колено', 'и', 'т', 'п', 'в', 'дальнейший', 'особенно', 'с', 'появление', 'государственный', 'образование', 'слово', 'стать', 'приобретать', 'более', 'размытый', 'значение'], ['например', 'многочисленный', 'племя', 'варвар', 'римляна', 'объединять', 'в', 'галл', 'франк', 'германец', 'даковы', 'и', 'т', 'п', 'при', 'это', 'римляна', 'прекрасно', 'знать', 'о', 'они', 'внутренний', 'деление', 'на', 'десятка', 'крупный', 'и', 'мелкий', 'роды', 'что', 'засвидетельствовать', 'в', 'многочисленный', 'римский', 'хроник'], ['например', 'современный', 'город', 'париж', 'быть', 'основать', 'паризиями'], ['зачастую', 'объединять', 'признак', 'становиться', 'близкий', 'язык'], ['например', 'грек', 'а', 'затем', 'римляна', 'именовать', 'весь', 'иной', 'народ', 'ономатоп', 'барбароса', 'имитация', 'непонятный', 'речи'], ['аналогично', 'у', 'восточный', 'славянин', 'киевский', 'монах', 'нестор-летописец', 'использовать', 'как', 'объединять', 'или', 'различать', 'признак', 'языци'], ['существовать', 'и', 'совершенно', 'странный', 'наименование', 'другой', 'народ', 'который', 'имя', 'давать', 'пришельцы']]","[['какой', 'признак', 'киевский', 'монах', 'нестор-летописец', 'использовать', 'для', 'разделение', 'народностей', '?']]","[0.18338, 0.24768, 0.30769, 0.25899, 0.34409, 0.59223, 0.30682]","[1, 0, 0, 1, 0, 5, 0]",108.0,10.0,7.0,0.7543306935932086,0.18338,0.59223,0.12108560476634972,0.3201257142857143,7.0,0.0,5.0,"[0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 2, 0]",3.0,2.0,0.0,3.0,1.049781318335648,0.42857142857142855,0.0,2.0,0.6998542122237652,0.2857142857142857,1.0,"[28.125, 32.2581, 142.8571, 150.0, 71.4286, 35.7143, 90.9091]",4.0404,28.125,150.0,47.755609979911995,78.75602857142857,[0],0.0,0.0,0.0,0.0,0.0,0.0
